Key,en,es,ar,fr
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول,Soins aux administrateurs
All Admin,All Admin,Todos los administradores,كل المشرف,Tout administrateur
Admin Role,Admin Role,Rol de administrador,دور المسؤول,Rôle d'administration
Role Permission,Role Permission,Permiso de rol,إذن الدور,Permission de rôle
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول,E-mail à l'administrateur
Settings,Settings,Ajustes,إعدادات,Paramètres
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres Web
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية,Paramètres de base
Image Assets,Image Assets,Activos de imagen,أصول الصورة,Actifs d'image
Setup SEO,Setup SEO ( Search Engine Optimization ),Configurar SEO (optimización de motores de búsqueda),إعداد SEO (تحسين محرك البحث),Configuration du référencement (optimisation des moteurs de recherche)
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات,Paramètres de l'application
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,Écran de démarrage
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة,Écran à bord
App URLs,App URLs,URL de aplicaciones,APP urls,URL de l'application
VERIFICATION CENTER,Verification Center,Centro de verificación,مركز التحقق,Centre de vérification
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني,Configuration de l'e-mail
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode par e-mail
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC,Configuration de KYC
SETUP WEB CONTENT,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Configuration du contenu Web
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration
Banner Section,Banner Section,Banner,قسم لافتة,Section de bannière
Banner Floting,Banner Floting,Banner floting,لافتة تطفو,Bannière qui vole
About Section,About Section,Acerca de la sección,حول القسم,À propos de la section
Work Section,Work Section,Sección de trabajo,قسم العمل,Section de travail
Service Section,Service Section,Sección de servicio,قسم الخدمة,Section de service
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,Section FAQ
Blog Section,Blog Section,Sección de blogs,قسم المدونة,Section de blog
Blog Category,Blog Category,Categoría de blog,فئة المدونة,Catégorie de blog
Contact Us Section,Contact Us Section,Contáctanos la sección,اتصل بنا,Contactez-nous la section
Footer Section,Footer Section,Sección de pies,قسم تذييل,Section de pied de page
Testimonials Section,Testimonials Section,Sección de testimonios,قسم الشهادات,Section des témoignages
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد,Pages de configuration
Extensions,Extensions,Extensiones,الامتدادات,Extensions
PAYMENT METHODS,Payment Methods,Métodos de pago,طرق الدفع,méthodes de payement
Add Money,Add Money,Agregar dinero,إضافة المال,Ajouter de l'argent
Automatic,Automatic,Automático,تلقائي,Automatique
Manual,Manual,Manual,يدوي,Manuel
NOTIFICATION-UPPER,Notification,Notificación,إشعار,Notification
Push Notification,Push Notification,Notificación de inserción,إشعار دفع,Notification push
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Notification de configuration
Send Notification,Send Notification,Enviar notificación,إرسال إشعار,Envoyer une notification
BONUS,Bonus,Prima,علاوة,Prime
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي,Cookie du RGPD
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت,Vider le cache
Layout mode,Layout mode,Modo de diseño,وضع التصميم,Mode de mise en page
Topbar Color,Topbar Color,Color topbar,لون الشفر,Couleur de la barre supérieure
Sidebar color,Sidebar color,Color de la barra lateral,لون الشريط الجانبي,Couleur latérale
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale min
RTL Support,RTL Support,Soporte RTL,دعم RTL,Support RTL
Merchant Care,Merchant Care,Cuidado comercial,رعاية التاجر,Soins des marchands
Active Merchants,Active Merchants,Comerciantes activos,التجار النشطين,Marchands actifs
Sms Unverified,Sms Unverified,SMS no verificado,الرسائل القصيرة غير التحقق,SMS non vérifié
All Merchants,All Merchants,Todos los comerciantes,جميع التجار,Tous les marchands
Email To Merchants,Email To Merchants,Correo electrónico a comerciantes,البريد الإلكتروني إلى التجار,E-mail aux marchands
Banned Merchants,Banned Merchants,Comerciantes prohibidos,التجار المحظور,Marchands interdits
Recipient Countries,Recipient Countries,Países receptores,البلدان المتلقية,Pays récipiendaires
Mobile Topup,Mobile Topup,Supervisión móvil,Topup Mobile,Topup mobile
Categories,Categories,Categorías,فئات,Catégories
Virtual Card Api,Virtual Card Api,API de tarjeta virtual,واجهة برمجة تطبيقات البطاقة الافتراضية,API de la carte virtuelle
Setup Firebase,Setup Firebase,Configurar Firebase,إعداد Firebase,Configuration des incendies
Home,Home,Hogar,بيت,Maison
About,About,Acerca de,عن,À propos
FAQ,FAQ,Preguntas más frecuentes,التعليمات,FAQ
Web Journal,Web Journal,Diario web,مجلة الويب,Revue Web
Merchant,Merchant,Comerciante,تاجر,Marchand
Service,Service,Servicio,خدمة,Service
Contact,Contact,Contacto,اتصال,Contact
Download App,Download App,Descargar aplicación,تحميل التطبيق,Télécharger l'application
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord
Register,Register,Registro,يسجل,Registre
Login,Login,Acceso,تسجيل الدخول,Se connecter
Usefull Links,Usefull Links,Enlaces útiles,روابط مفيدة,Liens utiles
Newsletter,Newsletter,Boletin informativo,النشرة الإخبارية,Bulletin
Top,Top,Arriba,قمة,Haut
Login Information,Login Information,Información Entrar,معلومات تسجيل الدخول,Informations de connexion
Please input your phone number and password and login to your account to get access to your dashboard.,Please input your phone number and password and login to your account to get access to your dashboard.,Ingrese su número de teléfono y contraseña e inicie sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال رقم هاتفك وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.,Veuillez saisir votre numéro de téléphone et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte?
Register Information,Register Information,Registrar información,تسجيل المعلومات,Enregistrer les informations
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su tablero.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة القيادة الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire sur votre compte pour accéder à votre tableau de bord.
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع,Je suis d'accord avec
Continue,Continue,Continuar,يكمل,Continuer
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن,Connecte-toi maintenant
KYC Form,KYC Form,Forma kyc,شكل KYC,Forme kyc
Please input all the fild for login to your account to get access to your dashboard.,Please input all the fild for login to your account to get access to your dashboard.,Ingrese todo el FILD para iniciar sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال جميع fild لتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.,Veuillez saisir toute la file pour connecter à votre compte pour accéder à votre tableau de bord.
Please input your mobile number and get verify code  for recovering your account.,Please input your mobile number and get verify code  for recovering your account.,Ingrese su número de teléfono móvil y obtenga el código de verificación para recuperar su cuenta.,يرجى إدخال رقم هاتفك المحمول والحصول على رمز التحقق لاسترداد حسابك.,Veuillez saisir votre numéro de mobile et obtenir du code de vérification pour récupérer votre compte.
Register Now,Register Now,Regístrate ahora,سجل الان,S'inscrire maintenant
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز,Veuillez saisir le code
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,أرسلنا رمزًا مكون من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد,Vous pouvez renvoyer le code après
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al tablero,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة القيادة,Veuillez saisir votre code d'autorisation pour accéder au tableau de bord
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,اثنين من التفويض عامل,Autorisation à deux facteurs
Back to Login,Back to Login,Atrás para iniciar sesión,العودة إلى تسجيل الدخول,Retour connexion
Authorize,Authorize,Autorizar,إذن,Autoriser
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC,Vérification KYC
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información de KYC con datos válidos.,يرجى إرسال معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Consulte su bandeja de entrada de correo para obtener el código de autorización,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez cocher votre boîte de réception de messagerie pour obtenir le code d'autorisation
Verify,Verify,Verificar,يؤكد,Vérifier
Submit,Submit,Entregar,يُقدِّم,Soumettre
Send Money,Send Money,Enviar dinero,إرسال الأموال,Envoyer de l'argent
Receive Money,Receive Money,Recibir dinero,إستلم نقود,Recevoir de l'argent
Remittance,Remittance,Remesa,التحويلات,Remise
Make Payment,Make Payment,Hacer el pago,قم بالدفع,Effectuer le paiement
Mobile ToUp,Mobile ToUp,Toup móvil,زشمة متنقلة,Toup mobile
Transaction,Transaction,Transacción,عملية,Transaction
Seved Recipient,Seved Recipient,Receptor,المستلم,Récipiendaire de Seved
2FA Security,2FA Security,2FA SEGURIDAD,2FA الأمن,Sécurité 2FA
Get Support,Get Support,Obtener apoyo,احصل على الدعم,Obtenir de l'aide
Notification,Notification,Notificación,إشعار,Notification
Cancel,Cancel,Cancelar,يلغي,Annuler
Optional,Optional,Opcional,خياري,Facultatif
Add Money Preview,Add Money Preview,Agregar vista previa de dinero,أضف معاينة المال,Ajouter un aperçu de l'argent
Entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ,Montant entré
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والرسوم,Total des frais et charges
Will Get,Will Get,Obtendrá,سوف تحصل,Aura
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق,Montant total payable
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر,Solde disponible
Bill Pay Form,Bill Pay Form,Formulario de pago de facturas,نموذج دفع الفاتورة,Formulaire de rémunération
Bill Pay,Bill Pay,Pago de facturas,دفع الفاتورة,Payement de facture
Bill Number,Bill Number,Número de factura,رقم الفاتوره,Numéro de facture
Amount,Amount,Cantidad,كمية,Montant
Total Charge,Total Charge,Carga total,القيمة الاجمالية,Charge totale
Total Payable,Total Payable,Total a pagar,إجمالي الدفع,Total à payer
View More,View More,Ver más,عرض المزيد,Voir plus
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,Numéro de portable
Confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع,Confirmer le paiement
Total Fees,Total Fees,Tarifas totales,الرسوم الكلية,Total des frais
Recipient Received,Recipient Received,Receptor recibido,تلقى المستلم,Receveur reçu
Make Payment Log,Make Payment Log,Hacer registro de pago,قم بعمل سجل الدفع,Faire du journal de paiement
Bill Pay Log,Bill Pay Log,Registro de pago de facturas,سجل دفع الفواتير,Journal de paiement de la facture
Recharge,Recharge,Recargar,تعبئة رصيد,Recharger
Recharge Now,Recharge Now,Recargar ahora,إعادة الشحن الآن,Recharge maintenant
TopUp Type,TopUp Type,Tipo de topup,نوع Topup,Type de reprise
Preview,Preview,Avance,معاينة,Aperçu
Mobile Topup Log,Mobile Topup Log,Registro de topup móvil,سجل Topup Mobile,Journal de topup mobile
Money Out,Money Out,Apagarse,لم يبقى اي من المال,Plus d'argent
Conversion Amount,Conversion Amount,Cantidad de conversión,مبلغ التحويل,Montant de la conversion
Money Out Information,Money Out Information,Información de dinero de dinero,معلومات المال,Informations sur l'argent
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,Paramètres de profil
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
Change,Change,Cambiar,يتغير,Changement
Add Receipient,Add Receipient,Agregar recibo,إضافة استلام,Ajouter le retenue
Transaction Type,Transaction Type,tipo de transacción,نوع المعاملة,Type de transaction
No Receipient Found!,No Receipient Found!,¡No se encontró ningún recibido!,لم يتم العثور على استلام!,Aucun détendu trouvé!
Money Receive,Money Receive,El dinero recibe,الحصول على المال,L'argent reçoit
Share Qr Code,Share Qr Code,Compartir el código QR,شارك رمز الاستجابة السريعة,Partager le code QR
Share,Share,Compartir,يشارك,Partager
Form,Form,Forma,استمارة,Formulaire
Add,Add,Agregar,يضيف,Ajouter
Send Now,Send Now,Enviar ahora,ارسل الان,Envoyer maintenant
Receiving Country,Receiving Country,País receptor,استلام الدولة,Pays de réception
Receipient,Receipient,Recibido,استلام,Récepteur
Transfer Fee,Transfer Fee:,Tarifa de transferencia:,رسوم التحويل:,Frais de transfert:
Receipient Get,Receipient Get,Recibir obtenga,الحصول على استلام,Dépensier Get
Remittance Log,Remittance Log,Registro de remesas,سجل التحويلات,Journal de versement
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة,Authentificateur à deux facteurs
Disable,Disable,Desactivar,إبطال,Désactiver
Enable,Enable,Permitir,يُمكَِن,Activer
Confirm Send,Confirm Send,Confirmar enviar,تأكيد إرسال,Confirmer Envoyer
Send Money Preview,Send Money Preview,Enviar Vista previa de dinero,إرسال معاينة الأموال,Envoyer un aperçu de l'argent
Send Money Log,Send Money Log,Enviar registro de dinero,إرسال سجل الأموال,Envoyer un journal d'argent
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة,Ajouter un nouveau billet
Add New,Add New,Agregar nuevo,اضف جديد,Ajouter un nouveau
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر,ID de billets
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Subject,Subject,Sujeto,موضوع,Sujet
Status,Status,Estado,حالة,Statut
Last Replied,Last Replied,Último respondió,رد الأخير,Dernier a répondu
Details,Details,Detalles,تفاصيل,Détails
Add Balance via,Add Balance via,Agregar balance a través de,أضف التوازن عبر,Ajouter un équilibre via
Virtual Card,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle
Exchange Money,Exchange Money,Cambio de moneda,الصرافة,Monnaie d'échange
Balance Update From Admin,Balance Update From Admin,Actualización de equilibrio desde Admin,تحديث الرصيد من المسؤول,Équilibrez la mise à jour de l'administrateur
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة,Type de carte
Total Bill Pay,Total Bill Pay,Pago de factura total,إجمالي دفع الفواتير,Paiement total des factures
Total Mobile TopUp,Total Mobile TopUp,Topo móvil total,إجمالي Topup Mobile,Topup mobile total
Total Buy Gift Card,Total Buy Gift Card,Total de compra de la tarjeta de regalo,إجمالي شراء بطاقة هدية شراء,Carte-cadeau d'achat total
Total Transaction,Total Transaction,Transacción total,المعاملة الكلية,Transaction totale
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
Log in and Stay Connected,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté
Register for an Account Today,Register for an Account Today,Regístrese para una cuenta hoy,سجل للحصول على حساب اليوم,Inscrivez-vous à un compte aujourd'hui
Reset Your Forgotten Password,Reset Your Forgotten Password,Restablece tu contraseña olvidada,أعد تعيين كلمة المرور المنسية,Réinitialisez votre mot de passe oublié
Developer,Developer,Desarrollador,مطور,Développeur
app Name,QRPAY,Qrpay,qrpay,Qrpay
please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le terrain
sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
rich Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir
country,Country,País,دولة,Pays
billing Information,Billing Information,Información de facturación,معلومات الفواتير,Informations de facturation
top Up Information,Top UP Information,Recargar información,قم بتوضيح المعلومات,Informations sur la remontée
use Secure Instant MOney,Use Secure & Instant Money Transfer App Now,Utilice la aplicación de transferencia de dinero seguro e instantáneo ahora,استخدم تطبيق تحويل الأموال الآمن والفوري الآن,Utilisez l'application de transfert d'argent sécurisé et instantané maintenant
user Name Or Email Address,Username Or Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني,Nom d'utilisateur ou adresse e-mail
password,Password,Contraseña,كلمة المرور,Mot de passe
get Started,Get Started,Empezar,البدء,Commencer
use App For Instant,Use QRPAY app for instant money transfer. Scan or Place this QRcode for receiving money in your wallet. Share this QR for instant money receiving.,Use la aplicación QRPay para la transferencia de dinero instantáneo. Escanee o coloque este código QR para recibir dinero en su billetera. Comparta este QR para recibir dinero instantáneo.,استخدم تطبيق QRPay لتحويل الأموال الفوري. مسح أو وضع هذا الرمز QRCODE لتلقي الأموال في محفظتك. مشاركة هذا QR للحصول على الأموال الفورية.,Utilisez l'application QRPAY pour un transfert d'argent instantané. Scannez ou placez ce QRCODE pour recevoir de l'argent dans votre portefeuille. Partagez ce QR pour la réception instantanée de l'argent.
email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse e-mail
enter The OTPCode Send To,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a su correo electrónico,أرسلنا رمز مكون من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre e-mail
enter The Google Auth OTPCode,Enter OTP Code From Google Authenticator,Ingrese el código OTP desde Google Authenticator,أدخل رمز OTP من Google Authenticator,Entrez le code OTP de Google Authenticator
verified Code,Verified Code,Código verificado,رمز التحقق,Code vérifié
at Andt,AT&T,AT&T,AT&T,AT&T
phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone
o TPVerification,Otp Verification,Verificación OTP,التحقق من OTP,Vérification OTP
email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني,vérification de l'E-mail
resend,Resend,Revender,إعادة إرسال,Revivre
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx
pay And Go,QRPAY-PAY AND GO,QRPAY-PAY Y GO,qrpay-pay و GO,QRPAY-PAY ET ALL
the Codeis Not Valid,The code is not valid,El código no es válido,الرمز غير صالح,Le code n'est pas valide
number,1684,1684,1684,1684
number Plus1684,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783
skip,Skip,Saltar,يتخطى,Sauter
next,Next,Próximo,التالي,Suivant
enter Password,Enter password,Introducir la contraseña,أدخل كلمة المرور,Entrer le mot de passe
app Not Available,App Not Available,Aplicación no disponible,التطبيق غير متوفر,Application non disponible
permission Denied,Permission Denied,Permiso denegado,تم رفض الإذن,Permission refusée
app Not Available Sub Title,QRPAY is suddenly not available in the current region/country.,QRPay de repente no está disponible en la región/país actual.,QRPay فجأة غير متوفر في المنطقة/البلد الحالي.,QRPAY n'est soudainement pas disponible dans la région / pays actuel.
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires.
continues,continues,continúa,متواصل,continue
continuee,Continue,Continuar,يكمل,Continuer
usd100,100.00 USD,100.00 USD,100.00 دولار أمريكي,"100,00 USD"
total Price,Total Price,Precio total,السعر الكلي,Prix ​​total
drop Your File,Drop your file,Deja caer tu archivo,أسقط ملفك,Déposez votre fichier
have Account,Have An Account?,¿Tener una cuenta?,هل لديك حساب؟,Avoir un compte?
sign In Information,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté
sign Up Information,Register an Account Today,Registre una cuenta hoy,سجل حساب اليوم,Enregistrez un compte aujourd'hui
agree,Please agree with term and condition,"Por favor, de acuerdo con el término y la condición",يرجى الاتفاق مع المصطلح والشرط,Veuillez être d'accord avec le terme et l'état
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم والبقاء على اتصال بأموالك ، في أي وقت وفي أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et n'importe où."
sign Up Details,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Convierta en parte de nuestra comunidad registrándose para una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades.,كن جزءًا من مجتمعنا من خلال التسجيل لحساب اليوم. استمتع بمجموعة من الفوائد والميزات المصممة لتلبية احتياجاتك.,Faites partie de notre communauté en s'inscrivant pour un compte aujourd'hui. Profitez d'une gamme d'avantages et de fonctionnalités adaptées pour répondre à vos besoins.
verification Code,Verification Code,Código de verificación,رمز التحقق,Le code de vérification
enter Your Verification Code,"Enter the verification code which one we send you in your email, to verified your account.",Ingrese el código de verificación que le enviamos a su correo electrónico para verificar su cuenta.,أدخل رمز التحقق الذي نرسله لك في بريدك الإلكتروني ، للتحقق من حسابك.,"Entrez le code de vérification que nous vous envoyons dans votre e-mail, pour vérifier votre compte."
resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز,Renvoyer le code
k YCForm,KYC Form,Forma kyc,شكل KYC,Forme kyc
k YCForm Details,Please input all the field for sign in to your account to get access to your dashboard.,Ingrese todo el campo para iniciar sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال جميع الحقل لتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.,Veuillez saisir tout le champ pour vous connecter à votre compte pour accéder à votre tableau de bord.
first Name,First Name,Nombre de pila,الاسم الأول,Prénom
last Name,Last Name,Apellido,اسم العائلة,Nom de famille
enter First Name,Enter First Name,Ingrese el nombre,أدخل الاسم الأول,Entrez votre prénom
enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر,Entrer le nom de famille
enter Email Address,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني,Entrer l'adresse e-mail
select Country,Select Country,Seleccionar país,حدد الدولة,Choisissez le pays
select City,Select City,Ciudad selecta,اختر مدينة,Sélectionnez une ville
enter City,Enter City,Entrar en la ciudad,أدخل المدينة,Entrer dans la ville
zip Code,Zip Code,Código postal,الرمز البريدي,Code postal
enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي,Entrer le code postal
front Part,Front Part,Parte delantera,الجزء الامامي,Partie avant
back Part,Back Part,Parte de atrás,الجزء الخلفي,Partie arrière
upload Passport,Upload Passport / NID / Driving Lic. etc doc for verification,Subir pasaporte / nid / conducir lic. etc doc para verificación,تحميل جواز السفر / NID / قيادة LIC. ETC DOC للتحقق,Téléchargez Passport / NID / Driving LIC. etc doc pour la vérification
confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور,Entrez le mot de passe Confirmer
by Using,By using QRPAY’s you agree to our,"Al usar Qrpay, usted acepta nuestro",باستخدام QRPay ، أنت توافق على,"En utilisant des QRPay, vous acceptez notre"
user Agreement,User Agreement.,Acuerdo del Usuario.,اتفاقية المستخدم.,Accord de l'utilisateur.
or,or,o,أو,ou
reset Password Details,Reset your password to get back access to your dashboard again.,Restablezca su contraseña para volver al acceso a su tablero nuevamente.,أعد تعيين كلمة المرور الخاصة بك لاستعادة الوصول إلى لوحة القيادة مرة أخرى.,Réinitialisez votre mot de passe pour récupérer à nouveau l'accès à votre tableau de bord.
